timestamp	pids	cpu_pct	rss_gb	system_mem_mb
2026-09-25T02:53:54+00:00	1412622,1412625,1417681,1438688,1438720,1438752,1438784	3017.5	7.026	4599
2026-09-25T02:54:24+00:00	1412622,1412625,1417681,1439497,1439529,1439561,1439593	3027.0	8.934	5512
2026-09-25T02:54:54+00:00	1412622,1412625,1417681,1439649,1439681,1439713,1439745	3018.4	8.712	6567
2026-09-25T02:55:24+00:00	1412622,1412625,1417681,1440085,1440117,1440149,1440181	3021.7	9.575	6955
2026-09-25T02:55:54+00:00	1412622,1412625,1417681,1440316,1440348,1440380,1440412	3017.9	7.562	4986
2026-09-25T02:56:24+00:00	1412622,1412625,1417681,1441041,1441073,1441105,1441137	3020.0	7.067	4399
2026-09-25T02:56:54+00:00	1412622,1412625,1417681,1441272,1441304,1441336,1441368	3017.9	9.831	7487
2026-09-25T02:57:24+00:00	1412622,1412625,1417681,1441678,1441710,1441742,1441774	3018.9	9.366	6860
2026-09-25T02:57:54+00:00	1412622,1412625,1417681,1441908,1441940,1441972,1442004	3017.8	7.388	4771
2026-09-25T02:58:24+00:00	1412622,1412625,1417681,1442642,1442674,1442706,1442738	3018.3	7.378	4875
2026-09-25T02:58:54+00:00	1412622,1412625,1417681,1443016,1443048,1443080,1443112	3029.3	8.512	4927
2026-09-25T02:59:24+00:00	1412622,1412625,1417681,1443274,1443306,1443338,1443370	3019.3	8.705	6433
2026-09-25T02:59:54+00:00	1412622,1412625,1417681,1443657,1443689,1443721,1443753	3022.4	9.053	6211
2026-09-25T03:00:24+00:00	1412622,1412625,1417681,1444276,1444308,1444340,1444372	3018.8	7.100	4608
2026-09-25T03:00:55+00:00	1412622,1412625,1417681,1444674,1444706,1444738,1444770	3020.6	7.815	5337
2026-09-25T03:01:25+00:00	1412622,1412625,1417681,1444970,1445002,1445034,1445066	3018.8	9.964	7599
2026-09-25T03:01:55+00:00	1412622,1412625,1417681,1445351,1445383,1445415,1445447	3020.1	8.294	6000
2026-09-25T03:02:25+00:00	1412622,1412625,1417681,1445955,1445987,1446019,1446051	3018.8	8.820	6489
2026-09-25T03:02:55+00:00	1412622,1412625,1417681,1446330,1446362,1446394,1446426	3019.6	8.913	6487
2026-09-25T03:03:25+00:00	1412622,1412625,1417681	3018.0	1.524	3395
2026-09-25T03:03:55+00:00	1412622,1412625,1417681,1447283,1447315,1447347,1447379	3019.2	7.341	5051
2026-09-25T03:04:25+00:00	1412622,1412625,1417681,1448040,1448072,1448109,1448181	3031.0	8.888	5503
2026-09-25T03:04:55+00:00	1412622,1412625,1417681,1448342,1448374,1448406,1448438	3019.3	10.403	8056
2026-09-25T03:05:25+00:00	1412622,1412625,1417681,1448816,1448848,1448880,1448912	3023.5	9.043	6467
2026-09-25T03:05:55+00:00	1412622,1412625,1417681,1448992,1449024,1449063,1449104	3019.0	8.740	6346
2026-09-25T03:06:25+00:00	1412622,1412625,1417681,1449812,1449844,1449876,1449908	3022.4	8.350	5756
2026-09-25T03:06:55+00:00	1412622,1412625,1417681,1450363,1450395,1450427,1450459	3018.8	7.488	5135
2026-09-25T03:07:25+00:00	1412622,1412625,1417681,1450849,1450881,1450913,1450945	3020.8	7.237	4644
2026-09-25T03:07:55+00:00	1412622,1412625,1417681,1451000,1451032,1451064,1451096	3019.0	9.561	7185
2026-09-25T03:08:25+00:00	1412622,1412625,1417681,1451807,1451839,1451871,1451903	3020.0	9.291	7153
2026-09-25T03:08:55+00:00	1412622,1412625,1417681,1451958,1451990,1452022,1452054	3018.8	7.368	4889
2026-09-25T03:09:25+00:00	1412622,1412625,1417681,1452355,1452387,1452419,1452451	3019.6	7.252	4789
2026-09-25T03:09:56+00:00	1412622,1412625,1417681,1452817,1452849,1452881,1452913	3027.4	9.302	6020
2026-09-25T03:10:26+00:00	1412622,1412625,1417681,1453357,1453389,1453421,1453453	3019.2	9.654	7340
2026-09-25T03:10:56+00:00	1412622,1412625,1417681,1453732,1453764,1453796,1453828	3021.4	7.409	4774
2026-09-25T03:11:26+00:00	1412622,1412625,1417681,1453963,1453995,1454027,1454059	3019.0	8.550	6387
2026-09-25T03:11:56+00:00	1412622,1412625,1417681,1454434,1454466,1454498,1454530	3020.0	8.766	6208
2026-09-25T03:12:26+00:00	1412622,1412625,1417681,1455024,1455056,1455088,1455120	3018.8	9.099	6475
2026-09-25T03:12:56+00:00	1412622,1412625,1417681,1455398,1455430,1455462,1455494	3019.6	9.030	6469
2026-09-25T03:13:26+00:00	1412622,1412625,1417681,1455992,1456024	3080.5	4.339	3511
2026-09-25T03:13:56+00:00	1412622,1412625,1417681,1456247,1456279,1456311,1456343	3019.4	7.862	5267
2026-09-25T03:14:26+00:00	1412622,1412625,1417681,1456970,1457002,1457034,1457066	3025.7	10.254	6874
2026-09-25T03:14:56+00:00	1412622,1412625,1417681,1457202,1457234,1457266,1457298	3019.2	9.713	7279
2026-09-25T03:15:27+00:00	1412622,1412625,1417681,1457610,1457642,1457674,1457706	3022.0	7.997	5263
2026-09-25T03:15:57+00:00	1412622,1412625,1417681,1457866,1457898,1457930,1457962	3018.8	7.319	4687
2026-09-25T03:16:27+00:00	1412622,1412625,1417681,1458593,1458625,1458657,1458689	3020.9	7.192	4636
2026-09-25T03:16:57+00:00	1412622,1412625,1417681,1458829,1458861,1458893,1458925	3019.1	9.053	6547
2026-09-25T03:17:27+00:00	1412622,1412625,1417681,1459205,1459237,1459269,1459301	3020.1	9.365	7117
2026-09-25T03:17:57+00:00	1412622,1412625,1417681,1459467,1459499,1459531,1459563	3018.8	7.576	5081
2026-09-25T03:18:27+00:00	1412622,1412625,1417681,1460193,1460225,1460257,1460289	3019.8	7.752	5296
2026-09-25T03:18:57+00:00	1412622,1412625,1417681,1460564,1460596,1460628,1460661	3037.4	7.831	4250
2026-09-25T03:19:27+00:00	1412622,1412625,1417681,1460807,1460839,1460871,1460903	3020.4	8.793	6449
2026-09-25T03:19:57+00:00	1412622,1412625,1417681,1461207,1461239,1461271,1461303	3026.0	10.134	7362
2026-09-25T03:20:27+00:00	1412622,1412625,1417681,1461829,1461861,1461893,1461925	3020.2	8.459	6248
2026-09-25T03:20:57+00:00	1412622,1412625,1417681,1462204,1462236,1462268,1462300	3022.4	7.525	4761
2026-09-25T03:21:27+00:00	1412622,1412625,1417681,1462435,1462467,1462499,1462531	3020.0	8.760	6466
2026-09-25T03:21:57+00:00	1412622,1412625,1417681,1462902,1462934,1462966,1462998	3021.1	8.377	6176
